Label,Text
1, why .
1,I still love you so much just priva .
1,I wish you every success .
0,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !"
1,I 'm just pointing out our version of mercy and the God of the Bible are not even close to the same thing .
1,"No , unfortunately he did n't ."
1,Is there any on here old enough to remember white Canada ?
0,"I do not think anyone looks up to white Negroes , just the black ones and then they become wiggers ."
1,"No man , you got to listen to pass ."
1,Why would we first start in a city ?
1,Is it where they grade you based on how cultural marxist you are or do they allow people their own views ?
1,Something mysterious must be happening there
1,No problems .
1,I did n't mean to kill this thread with that looooooooooooong post .
1,And this site was resticted on my moms computer so it took me a few days to hack her PW and change that .
1,I'm happy for the two of you .
1,hey man at least you have the balls to get in the cage. most people dont .
1,Over the last year I have increased my personal efforts ten fold I think we are among the last whites with the hope of saving our people .
1,This is like `` wiggers '' .
1,I 'm 24 yrs old and live in MN .
1,I went to high school with f * ckers just like the guy in the original video .
0,Your history teacher has to do what the zionist butt heads want them to do .
1,Then your gonna see what hell is like .
1,"I'm 6 ' 1 "" , my wife was 5 ' 4 "" , I dunno if that counts as tall vs short ."
1,"If you need some help and I could provide it , send me a PM ."
1,Give them a thousand bucks for each baby they save .
1,This film tells the story of a poor victimised African boy ( Joseph ) who was allowed into Ireland .
1,"Well anything can be a `` hate crime '' these days , I heard recently that a guy in Scotland was charged for `` revving his car racistly '' ..... whatever that is"
0,whats up I thought I might put my pic up here I 'm looking for some friends theres too many negroes around here some times I feel like there is' int any white guy left in the world. so message me and let me know there is stll some white brothers out their .
1,It is called priorities .
1,OV topics really do come in waves .
1,Hispanic: A woman threw her 2 1/2-year-old granddaughter several stories to her death from a walkway at a shopping mall http://www.news4jax.com/video/25962136/index.html negro : -- Police arrested a 17-year-old who they said burglarized a home over the Thanksgiving weekend .
1,The struggle is about race not culture .
0,The lesbian student will probably find a jew lawyer and sue for violating her civil rights.That 's a common jew tactic .
1,I 've seen guys lose to girls and have their high school lives ruined to the point of having to switch schools because of the teasing and tormenting after losing to a girl .
1,No one else is going to bother telling this story .
1,I dont want to argue but will you nordicists ever stop claiming that blondism in the rest Europe only comes from your lands ?
1,Have you slavs that live in the West ever seen these Western Devils and their obsession with American football .
